split_id,in_blocks,out_blocks,selected_cell,selected_is_sharpe,selected_oos_sharpe,selected_oos_rank,selected_oos_return,baseline_oos_return,selected_minus_baseline_return,oos_return_regret,overfit
136,"1,2,3,6,8","0,4,5,7,9",atr_04_loc_25,1.9519304555138193,1.17856281769811,0.7,0.04792762791650618,-0.014590045046245281,0.06251767296275146,0.017353850178670305,False
137,"1,2,3,6,9","0,4,5,7,8",atr_04_loc_25,1.8054831890639613,1.3768398570851341,0.75,0.0557251836490924,0.008502276162015932,0.04722290748707647,0.027379356681006106,False
138,"1,2,3,7,8","0,4,5,6,9",atr_04_loc_50,0.7425374603576037,2.841900998009172,1.0,0.1379376572271207,0.03947390077595747,0.09846375645116323,0.0,False
139,"1,2,3,7,9","0,4,5,6,8",atr_04_loc_50,0.5862099477591917,3.02783992455574,1.0,0.1463006969402736,0.06383316879801582,0.08246752814225777,0.0,False
140,"1,2,3,8,9","0,4,5,6,7",atr_04_loc_50,0.5346489212124551,2.6729347151005,1.0,0.15528491615015216,0.06740254921102129,0.08788236693913087,0.0,False
141,"1,2,4,5,6","0,3,7,8,9",atr_04_loc_50,3.05094825854237,0.574054692303336,1.0,0.027247569528114246,-0.004635966115396406,0.03188353564351065,0.0,False
142,"1,2,4,5,7","0,3,6,8,9",atr_04_loc_50,1.8682513331547632,1.7440734031049492,0.95,0.09876788107299572,0.04997410447581396,0.04879377659718176,0.002869853696864988,False
143,"1,2,4,5,8","0,3,6,7,9",atr_04_loc_50,2.7656873351098743,1.6585814496620013,1.0,0.10737955821031431,0.053496984860258,0.053882573350056306,0.0,False
144,"1,2,4,5,9","0,3,6,7,8",atr_04_loc_50,2.3562817179060915,1.7823978116020822,1.0,0.11551801743435752,0.0781848730270358,0.03733314440732172,0.0,False
145,"1,2,4,6,7","0,3,5,8,9",atr_04_loc_50,1.8968768639435662,1.6209430930348243,0.95,0.07051407453486447,0.03713878921863634,0.03337528531622813,0.0027223994594001155,False
146,"1,2,4,6,8","0,3,5,7,9",atr_04_loc_50,2.1529734966120286,1.478774933096005,1.0,0.07890431030681544,0.04061860446446719,0.03828570584234825,0.0,False
